have,author,title,release date,book url
,Adam Jefferson,The Jesus Drug: The Miracle Pill,"Jun 11, 2019",https://amazon.com/gp/product/B07SXDL4R7
,Adam Nostra,The 2044 War Between Texas and California: How AOC Became the World Leader,"Mar 25, 2019",https://amazon.com/gp/product/B07PX3668H
,Adam Nostra,The Devil and Jesus Debate Tinder Strategies: How to Optimize Your Tinder Success,"Mar 29, 2019",https://amazon.com/gp/product/B07Q3LVPS1
,Adam Weishaupt,Abraham: The World's First Psychopath (The Anti-Christian Series Book 5),"May 14, 2011",https://amazon.com/gp/product/B0050Z38XQ
,Adam Weishaupt,Christianity: The Devil's Greatest Trick (The Anti-Christian Series Book 4),"May 10, 2011",https://amazon.com/gp/product/B0050C54WC
,Adam Weishaupt,Contra Mundum,"Jan 15, 2016",https://amazon.com/gp/product/B01AOWGKDE
,Adam Weishaupt,"Evangelical Protestants: Mad, Bad and Dangerous to Know (The Anti-Christian Series Book 9)","Jan 20, 2012",https://amazon.com/gp/product/B00589APBW
,Adam Weishaupt,High Priests of Hell (The Anti-Christian Series Book 1),"Aug 23, 2010",https://amazon.com/gp/product/B0040JHQEK
,Adam Weishaupt,Hypersex (The Sex Series Book 1),"May 6, 2011",https://amazon.com/gp/product/B004ZRFLVW
,Adam Weishaupt,Inside-Dopesters and Conspiracy Theories (The Anti-Elite Series Book 7),"Oct 16, 2011",https://amazon.com/gp/product/B005WLIACW
,Adam Weishaupt,Is God Evil? (The Anti-Christian Series Book 3),"Oct 17, 2010",https://amazon.com/gp/product/B0047O2CPG
,Adam Weishaupt,iSex: Illuminati Sex (The Sex Series Book 2),"May 6, 2011",https://amazon.com/gp/product/B004ZRFLDK
,Adam Weishaupt,Jehovah: The First Nazi (The Anti-Christian Series Book 8),"Oct 9, 2011",https://amazon.com/gp/product/B005UFCTTU
,Adam Weishaupt,"Jesus, Prince of Hell (The Anti-Christian Series Book 2)","Aug 23, 2010",https://amazon.com/gp/product/B0040JHV2C
,Adam Weishaupt,NWO (The Anti-Elite Series Book 6),"Oct 13, 2011",https://amazon.com/gp/product/B005VTGAJK
,Adam Weishaupt,OWO (The Anti-Elite Series Book 5),"Oct 13, 2011",https://amazon.com/gp/product/B005VU2UMA
,Adam Weishaupt,Resurrection: The Origin of a Religious Fallacy (The Anti-Christian Series Book 6),"Jun 25, 2011",https://amazon.com/gp/product/B005895NEG
,Adam Weishaupt,Sex for Salvation (The Sex Series Book 3),"May 7, 2011",https://amazon.com/gp/product/B004ZVD106
,Adam Weishaupt,The Crystal Spheres of the Illuminati (The Illuminati Series Book 4),"Aug 16, 2011",https://amazon.com/gp/product/B005HMO7EG
,Adam Weishaupt,The Disproof of Christianity (The Anti-Christian Series Book 7),"Oct 2, 2011",https://amazon.com/gp/product/B005HB0UD4
,Adam Weishaupt,The Illuminati (The Illuminati Series Book 1),"Jan 27, 2011",https://amazon.com/gp/product/B004LB5CDO
,Adam Weishaupt,The Illuminati Manifesto (The Illuminati Series Book 6),"Oct 1, 2011",https://amazon.com/gp/product/B005RPZ53U
,Adam Weishaupt,The Illuminati Paradigm Shift (The Illuminati Series Book 2),"May 13, 2011",https://amazon.com/gp/product/B0050VDBFU
,Adam Weishaupt,The Illuminati Phalanx (The Illuminati Series Book 5),"Sep 30, 2011",https://amazon.com/gp/product/B005REU7BG
,Adam Weishaupt,The Illuminati's Six Dimensional Universe (The Illuminati Series Book 3),"May 16, 2011",https://amazon.com/gp/product/B00519T3EO
,Adam Weishaupt,The Movement: The Revolution will be Televised (The Anti-Elite Series Book 1),"Oct 17, 2010",https://amazon.com/gp/product/B0047O2F44
,Adam Weishaupt,The Revolt of the Spectacular Society (The Anti-Elite Series Book 3),"Sep 28, 2011",https://amazon.com/gp/product/B005QSLTP6
,Adam Weishaupt,"The Triune Brain, Hypnosis and the Evolution of Consciousness","Jun 25, 2011",https://amazon.com/gp/product/B00589BAW0
,Adam Weishaupt,Voices of the Movement (The Anti-Elite Series Book 2),"May 13, 2011",https://amazon.com/gp/product/B0050VDBIC
,Adam Weishaupt,Wolf or Dog? (The Anti-Elite Series Book 4),"Sep 28, 2011",https://amazon.com/gp/product/B005QFI2JU
,Brother Abaris,The Illuminist Army,"Mar 26, 2016",https://amazon.com/gp/product/B01DHFQ41I
,Brother Cato,Illuminism Contra Discordianism,"Mar 26, 2016",https://amazon.com/gp/product/B01DHDWD1U
,Brother Malus,The Dunciad,"Mar 26, 2016",NOTE: Censored by Amazon
,Brother Spartacus,The Citizen Army,"Jan 30, 2016",https://amazon.com/gp/product/B01BA2OYWQ
,David Sinclair,"One Right Answer, Infinite Wrong Answers: Why Humanity Is Addicted to Being Wrong","Sep 23, 2020",https://amazon.com/gp/product/B08K1G3YGG
,David Sinclair,Superheroes and Presidents: How Absurd Stories Have Poisoned the American Mind,"Sep 23, 2020",https://amazon.com/gp/product/B08K1M2DWX
,David Sinclair,The War of the Mind: Understanding Inflation and Alienation,"Sep 23, 2020",https://amazon.com/gp/product/B08JZMB96G
,Dr. Cody Newman,Ontological Mathematics for the Curious: An Introduction to Ontological Thinking,"Jun 26, 2019",https://amazon.com/gp/product/B07TNRK7MK
,Dr. Thomas Stark,Base Reality: Ultimate Existence (The Truth Series Book 16),"Aug 21, 2019",https://amazon.com/gp/product/B07WS2R934
,Dr. Thomas Stark,Castalia: The Citadel of Reason (The Truth Series Book 7),"Feb 3, 2018",https://amazon.com/gp/product/B079KP9Y9M
,Dr. Thomas Stark,Euler’s Formula and Special Relativity: The Deep Origin of Space and Time (The Truth Series Book 1),"Feb 6, 2017",https://amazon.com/gp/product/B01NC3DJIQ
,Dr. Thomas Stark,Extra Scientiam Nulla Salus: How Science Undermines Reason (The Truth Series Book 8),"Mar 4, 2018",https://amazon.com/gp/product/B07B7JB2K7
,Dr. Thomas Stark,God Is Mathematics: The Proofs of the Eternal Existence of Mathematics (The Truth Series Book 10),"Jul 17, 2018",https://amazon.com/gp/product/B07FNHSYGY
,Dr. Thomas Stark,Hive-Mind Dreaming: The Amazing World of Collective Dreaming (The Truth Series Book 15),"Jul 28, 2019",https://amazon.com/gp/product/B07VQ9G7FQ
,Dr. Thomas Stark,Holenmerism and Nullibism: The Two Faces of the Holographic Universe (The Truth Series Book 9),"May 10, 2018",https://amazon.com/gp/product/B07D1GBCXM
,Dr. Thomas Stark,Inside Reality: The Inner View of Existence (The Truth Series Book 11),"Sep 27, 2018",https://amazon.com/gp/product/B07HSSDGPB
,Dr. Thomas Stark,The Book of Mind: Seeking Gnosis (The Truth Series 5),"Oct 1, 2017",https://amazon.com/gp/product/B07643RWXR
,Dr. Thomas Stark,The Book of Thought: Mind Matters (The Truth Series 6),"Oct 20, 2017",https://amazon.com/gp/product/B076MTJQS6
,Dr. Thomas Stark,The Language of Reality: The Answer to Existence (The Truth Series Book 4),"Sep 10, 2017",https://amazon.com/gp/product/B075J75CNN
,Dr. Thomas Stark,The Sheldrake Shift: A Critical Evaluation of Morphic Resonance (The Truth Series Book 13),"Feb 2, 2019",https://amazon.com/gp/product/B07NCCJMBN
,Dr. Thomas Stark,The Stairway to Consciousness: The Birth of Self-Awareness from Unconscious Archetypes (The Truth Series Book 12),"Nov 28, 2018",https://amazon.com/gp/product/B07KY6QGN6
,Dr. Thomas Stark,The Thinking Universe: Energy Is Thought (The Truth Series Book 3),"Aug 23, 2017",https://amazon.com/gp/product/B0753CPTMK
,Dr. Thomas Stark,Tractatus Logico-Mathematicus: How Mathematics Explains Reality (The Truth Series Book 14),"May 7, 2019",https://amazon.com/gp/product/B07RM7NXCY
,Dr. Thomas Stark,What Is a Thought?: The Ontology of Thinking (The Truth Series Book 2),"Aug 7, 2017",https://amazon.com/gp/product/B074MMXPQ2
,Dr. Thomas Stark,What Is Mathematics?: The Greatest Detective Story Never Told (The Truth Series Book 17),"Jan 28, 2020",https://amazon.com/gp/product/B0849XJ1QB
,Harry Knox,God Is a Hive Mind: The Cellular Divinity,"Jun 18, 2019",https://amazon.com/gp/product/B07T85WC99
,Jack Tanner,Angelism: The Religion of Angels,"Aug 31, 2016",https://amazon.com/gp/product/B01LCXZ79C
,Jack Tanner,Angels Are Real,"Aug 31, 2016",https://amazon.com/gp/product/B01LD1Z8U6
,Jack Tanner,Do the Math: Why Math Is Nothing Like How You Imagine,"Nov 30, 2019",https://amazon.com/gp/product/B0826SQC16
,Jack Tanner,Dream Consciousness: What Happens to Consciousness During Sleep?,"Nov 30, 2019",https://amazon.com/gp/product/B0826SCCS5
,Jack Tanner,Endarkenment: New Age Fake Enlightenment,"Nov 30, 2019",https://amazon.com/gp/product/B0826S6PXD
,Jack Tanner,Fixed and Mobile Souls: Resurrection Versus Reincarnation,"Nov 30, 2019",https://amazon.com/gp/product/B0826RTH3Q
,Jack Tanner,Ghosts Are Real,"Aug 31, 2016",https://amazon.com/gp/product/B01LD041LO
,Jack Tanner,Sex With Angels: The Watchers and the Watched,"Aug 31, 2016",https://amazon.com/gp/product/B01LDF0UTG
,Jack Tanner,The Angel Experiment,"Aug 31, 2016",https://amazon.com/gp/product/B01LD618KU
,Jack Tanner,The Best You: The Politics of Self-Optimization,"Nov 30, 2019",https://amazon.com/gp/product/B0826T27VC
,Jack Tanner,The Birth of Ontological Mathematics: The Origin of the Ultimate Intellectual Revolution,"Nov 20, 2020",https://amazon.com/gp/product/B08NYNHGSW
,Jack Tanner,"The Death Defiers: Melchizedek, Enoch, Elijah and Jesus","Aug 31, 2016",https://amazon.com/gp/product/B01LCVWIK0
,Jack Tanner,The Dimitri Revolution: How DMT Changed Humanity,"Nov 30, 2019",https://amazon.com/gp/product/B0826YG49Z
,Jack Tanner,The Ghost Dimension,"Aug 31, 2016",https://amazon.com/gp/product/B01LD03PPC
,Jack Tanner,The Mathematics of Angels,"Aug 31, 2016",https://amazon.com/gp/product/B01LD615T4
,Jack Tanner,The Meaning of Life: Where Is Your Life Taking You?,"Nov 30, 2019",https://amazon.com/gp/product/B0826T7RS2
,Jack Tanner,The Science Conspiracy: How Autistics Took Over the World,"Dec 7, 2018",https://amazon.com/gp/product/B07L7844R8
,Jack Tanner,The Second Mind: Accessing Your Divine Powers,"Nov 30, 2019",https://amazon.com/gp/product/B0826SJ45P
,Jack Tanner,The Source of Dreams: When Human Imagination Died,"Nov 30, 2019",https://amazon.com/gp/product/B0826SPK1P
,Jack Tanner,"The Three Souls: Eternal, Immortal and Mortal","Aug 31, 2016",https://amazon.com/gp/product/B01LCX662Y
,Jack Tanner,Zarathustra's Out-of-Body Experience: How Humans Become Angels,"Nov 30, 2019",https://amazon.com/gp/product/B0826TM9YM
,James Axel,The Christian Detective: A Project Proving the Christian Truth,"Jul 29, 2018",https://amazon.com/gp/product/B07G1TDPQT
,James Axel,The Third Testament: The True Christian Revelation (The Christian Detective Book 2),"Oct 31, 2018",https://amazon.com/gp/product/B07K2W3131
,Jim Lee,In (Unlikely) Praise of Donald Trump: Embracing America’s Shadow,"Jun 20, 2019",https://amazon.com/gp/product/B07T9NPTMW
,Jim Leigh,Slaying the Football Giants: How Small Teams Can Succeed,"Jun 23, 2019",https://amazon.com/gp/product/B07THF19VF
,Joe Dixon,Character Wars: America's Failing Character,"Dec 12, 2016",https://amazon.com/gp/product/B01N0QJQQ4
,Joe Dixon,Clean Up Your Room!: The Eternal Spotless Mind of Jordan Peterson,"Oct 15, 2018",https://amazon.com/gp/product/B07JGJQXQP
,Joe Dixon,Dumbocalypse Now: The First Dunning-Kruger President,"Nov 24, 2016",https://amazon.com/gp/product/B01N7AL57K
,Joe Dixon,Take Them to the Morgue,"Aug 14, 2018",https://amazon.com/gp/product/B07GHQK1JF
,Joe Dixon,The Insanity Wars: Why People Are Crazier Than Ever,"Apr 6, 2017",https://amazon.com/gp/product/B06Y4G9XD7
,Joe Dixon,The Intelligence Wars: Logos Versus Mythos,"Dec 6, 2016",https://amazon.com/gp/product/B01MQTJ1DI
,Joe Dixon,The Irresistible Rise of Mediocre Man: The War On Excellence,"Apr 8, 2018",https://amazon.com/gp/product/B07CFHVVL6
,Joe Dixon,The Liberty Wars: The Trump Time Bomb,"Nov 10, 2016",https://amazon.com/gp/product/B01N07XMXY
,Joe Dixon,The Mandarin Effect: The Crisis of Meaning,"Jul 17, 2019",https://amazon.com/gp/product/B07VHTRDTJ
,Joe Dixon,The Ownership Wars: Who Owns You?,"Apr 29, 2017",https://amazon.com/gp/product/B072HLKPZY
,Joe Dixon,The Prophet of War: The Downfall of the West,"Jun 3, 2017",https://amazon.com/gp/product/B071WHMG2H
,Joe Dixon,Why God Should Go to Hell: How God Is Outside the Moral Order,"Feb 19, 2019",https://amazon.com/gp/product/B07NZX376F
,John Crawford,What Are the Illuminati Really Up to?: The Preserved Blood of Jesus Christ,"Jul 1, 2019",https://amazon.com/gp/product/B07TXF2P9K
,John Tierney,Jordan Peterson and the Second Religiousness: Explaining the Jordan Peterson Phenomenon,"Sep 4, 2018",https://amazon.com/gp/product/B07H3Q3BFJ
,Mark Romel,Identity and Lifestyle: The Forces That Drive the World,"Jan 1, 2017",https://amazon.com/gp/product/B01N1YGOQB
,Mark Romel,Mad World: The Seduction of Insanity,"Apr 17, 2017",https://amazon.com/gp/product/B06ZY6J7DZ
,Mark Romel,Social Capitalism: Against Mammonism,"May 11, 2017",https://amazon.com/gp/product/B071VNLSGW
,Mark Romel,Strange World: Why People Are Getting Weirder,"Feb 20, 2017",https://amazon.com/gp/product/B06W5SP2WP
,Mark Romel,The Cosmic Jest: The Joke’s On Us,"Jun 6, 2018",https://amazon.com/gp/product/B07DL9YS7B
,Mark Romel,The False Awakeners: Illusory Enlightenment,"Apr 3, 2017",https://amazon.com/gp/product/B06Y189XDD
,Mark Romel,The Mistletoe Murders: A Nietzschean Murder Mystery,"Mar 21, 2019",https://amazon.com/gp/product/1091094551
,Mark Romel,The Rigged Race of Life,"Feb 15, 2017",https://amazon.com/gp/product/B06W9L55XR
